# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_z2D
Path=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_z2D
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
1.000000e-01	2.285714e-01	1.500000e+02	3.604217e+02	7.547808e+01	1.670294e+00	1.670294e+00
1.000000e-01	2.285714e-01	3.604217e+02	8.660254e+02	1.544469e+01	4.874300e-01	4.874300e-01
1.000000e-01	2.285714e-01	8.660254e+02	2.080896e+03	2.093502e+00	1.157709e-01	1.157709e-01
1.000000e-01	2.285714e-01	2.080896e+03	5.000000e+03	3.357195e-01	2.990827e-02	2.990827e-02
2.285714e-01	3.571429e-01	1.500000e+02	3.604217e+02	2.376708e+01	9.372819e-01	9.372819e-01
2.285714e-01	3.571429e-01	3.604217e+02	8.660254e+02	4.953372e+00	2.760406e-01	2.760406e-01
2.285714e-01	3.571429e-01	8.660254e+02	2.080896e+03	6.594206e-01	6.497464e-02	6.497464e-02
2.285714e-01	3.571429e-01	2.080896e+03	5.000000e+03	8.792647e-02	1.530603e-02	1.530603e-02
3.571429e-01	4.857143e-01	1.500000e+02	3.604217e+02	9.610333e+00	5.960076e-01	5.960076e-01
3.571429e-01	4.857143e-01	3.604217e+02	8.660254e+02	1.984427e+00	1.747190e-01	1.747190e-01
3.571429e-01	4.857143e-01	8.660254e+02	2.080896e+03	2.688902e-01	4.149065e-02	4.149065e-02
3.571429e-01	4.857143e-01	2.080896e+03	5.000000e+03	2.397997e-02	7.993322e-03	7.993322e-03
4.857143e-01	6.142857e-01	1.500000e+02	3.604217e+02	4.768204e+00	4.198169e-01	4.198169e-01
4.857143e-01	6.142857e-01	3.604217e+02	8.660254e+02	7.383914e-01	1.065776e-01	1.065776e-01
4.857143e-01	6.142857e-01	8.660254e+02	2.080896e+03	7.042361e-02	2.123352e-02	2.123352e-02
4.857143e-01	6.142857e-01	2.080896e+03	5.000000e+03	1.065776e-02	5.328881e-03	5.328881e-03
6.142857e-01	7.428571e-01	1.500000e+02	3.604217e+02	1.811178e+00	2.587397e-01	2.587397e-01
6.142857e-01	7.428571e-01	3.604217e+02	8.660254e+02	2.768968e-01	6.526519e-02	6.526519e-02
6.142857e-01	7.428571e-01	8.660254e+02	2.080896e+03	1.920644e-02	1.108884e-02	1.108884e-02
6.142857e-01	7.428571e-01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.428571e-01	8.714286e-01	1.500000e+02	3.604217e+02	1.034958e+00	1.955887e-01	1.955887e-01
7.428571e-01	8.714286e-01	3.604217e+02	8.660254e+02	1.845977e-01	5.328877e-02	5.328877e-02
7.428571e-01	8.714286e-01	8.660254e+02	2.080896e+03	1.920642e-02	1.108883e-02	1.108883e-02
7.428571e-01	8.714286e-01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
8.714286e-01	1.000000e+00	1.500000e+02	3.604217e+02	4.805167e-01	1.332713e-01	1.332713e-01
8.714286e-01	1.000000e+00	3.604217e+02	8.660254e+02	7.691577e-02	3.439778e-02	3.439778e-02
8.714286e-01	1.000000e+00	8.660254e+02	2.080896e+03	0.000000e+00	0.000000e+00	0.000000e+00
8.714286e-01	1.000000e+00	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO2D

